Area,Bedrooms,Sales,Price,PΔ1M,PΔ1Q,PΔ6M,PΔ1Y,PΔ3Y,PΔ5Y,PΔ10Y,Rentals,Rent,RΔ1M,RΔ1Q,RΔ6M,RΔ1Y,RΔ3Y,RΔ5Y,RΔ10Y,Yield,CG Low,CG High,ROI Low,ROI High,Rent Increase,Volatility Index,Growth Rate,GRC Index,GRC Minima,GPD 3Y,GPD 5Y,GPD 10Y,GSP 3Y,GSP 5Y,GSP 10Y,future_metric_01,future_metric_02,future_metric_03,IRSAD,RO Ratio,UHV Ratio,UH Ratio,Affordability Index,SoM%,SoM LS,SoM SS,Inventory,Inventory LS,Inventory SS,Hold Period,HP LS,HP SS,BA Ratio,future_metric_04,future_metric_05,DoM,DoM LS,DoM SS,Discounting,Vacancy Rate,VR LS,VR SS,Clearance Rate,CR LS,CR SS,Auctions,Buy SI,Buy SI LS,Buy SI SS,Rent SI,Rent SI LS,Rent SI SS,future_metric_06,future_metric_07,Confidence,Sales Ratio,Rentals Ratio,Population,Dwellings,School Rank,Infra. Spend,future_metric_15,future_metric_16,EDI,MADI,Flood,Bushfire,Lower Risk,Cashflow,Capital Growth,Overall RCS,Nearest GPO,SA4,GCC,State,lga_pid,Data Level,Confidence.1,Property Type,15_Main Dashboard - HtAG Analytics (3).xlsx
"Bonnyrigg, NSW 2177",All,0,1163475,0.006500000000000001,0.0169,0.0378,0.1009,0.1792,0.5367000000000001,0.8187000000000001,7,583,0.0,0.0,0.0017,0.0355,0.1754,0.2538,0.2785,0.0261,-0.02,0.1,0.01,0.13,0.0271,4,(+)Decreasing,200,-0.016,-0.0684,0.1258,-0.1439,-0.0264,-0.1271,-0.1055,0,0,0,1,0.43,0.0,0.15,77.85,0.0012,-0.0003,0.0001,1.01,-0.03,0.03,7.44,0.87,-0.59,0.006999999999999999,0,0,30,4.02,4.53,0.0,0.0059,-0.0015,-0.0001,0.0,-0.1329,0.0,3,3,-0.29,-0.25,4,0.22,-0.14,0,0,Medium,0.01,0.03,9785,3503,55,367,0,0,60,99,100,100,10,35,13,19,30,Sydney - South West,Greater Sydney,NSW,NSW295,Suburbs,2,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Turrella, NSW 2205",All,2,767363,0.0027,0.0074,0.0127,0.0334,0.05889999999999999,0.1476,0.1732,6,691,0.0,0.0,0.0,0.0344,0.416,0.2702,0.4517,0.04679999999999999,-0.02,0.06,0.03,0.11,0.0,2,(+)Decreasing,172,-0.0537,-0.0164,0.0297,-0.2122,-0.0178,-0.0112,-0.0473,0,0,0,8,0.43,0.43,0.66,35.62,0.0017,-0.0001,-0.0008,0.52,-0.5,-0.34,5.04,-0.37,0.26,0.1421,0,0,48,-4.55,7.08,0.0,0.021,-0.0091,0.0023,0.0,0.0,0.0,1,4,-0.06,-0.49,6,-0.22,0.7,0,0,Medium,0.03,0.08,2673,1107,55,1077,0,0,79,100,100,100,21,43,13,26,9,Sydney - Inner South West,Greater Sydney,NSW,NSW335,Suburbs,2,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Belfield, NSW 2191",All,4,733690,0.004099999999999999,0.0138,0.0335,0.0733,0.1257,0.2028,0.2872,3,721,0.0014,0.0084,0.0344,0.1142,0.5042,0.4527,0.5136,0.05110000000000001,-0.09,0.15,-0.04,0.2,0.0287,7,(+)Decreasing,190,-0.0318,0.0372,0.0429,-0.1744,0.0191,0.0132,0.1105,0,0,0,7,0.3,0.35,0.16,34.93,0.008100000000000001,-0.0005,-0.0021,5.27,0.23,-1.03,6.23,0.86,0.99,0.0,0,0,97,-5.37,21.09,0.0253,0.0231,-0.0018,-0.0001,0.0,-0.0955,-0.1389,1,3,-0.3,-0.1,3,-0.41,0.0,0,0,Medium,0.0,0.02,6555,1996,50,240,0,0,80,100,99,100,40,75,13,43,12,Sydney - Inner South West,Greater Sydney,NSW,NSW332,Suburbs,2,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Guildford, NSW 2161",All,7,1162377,0.0028,0.0072,0.0133,0.0499,0.1656,0.5354,0.5579,22,665,0.0,0.003,0.0137,0.0522,0.3407,0.3327000000000001,0.4149,0.0297,-0.03,0.11,0.0,0.14,0.0186,4,(+)Increasing,188,-0.0958,-0.1049,0.1226,-0.4247,-0.0295,-0.026,-0.076,0,0,0,2,0.47,0.4,0.34,77.65,0.0011,-0.0005,-0.0003,0.36,-0.19,-0.12,10.53,1.71,-0.35,0.0148,0,0,53,4.63,11.76,0.0,0.0189,-0.006999999999999999,0.0023,0.7857,0.0177,-0.0194,1,3,-0.34,0.0,4,0.33,-0.12,0,0,High,0.02,0.03,24091,9215,48,861,0,0,78,100,100,100,34,37,13,28,20,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Ettalong Beach, NSW 2257",All,5,1233690,0.004699999999999999,0.0112,0.0232,0.04769999999999999,-0.0329,0.5825,1.1329,10,624,0.0032,0.0113,0.0433,0.1139,0.2372,0.4163,0.5689,0.0263,-0.09,0.17,-0.06,0.2,0.04389999999999999,8,(+)Peak,124,-0.0862,-0.3859,-0.0085,-0.4985,-0.0754,0.0021,0.06480000000000001,0,0,0,3,0.37,0.75,0.31,79.4,0.0032,-0.0002,0.0001,0.89,0.05,-0.04,12.94,1.37,1.76,0.0032,0,0,95,10.5,15.47,0.0,0.0169,0.0019,0.0015,0.0,0.0,0.0,2,5,0.39,0.19,5,0.54,-0.06,0,0,High,0.02,0.04,5161,3641,52,77,0,0,79,100,100,100,35,51,13,33,41,Central Coast,Greater Sydney,NSW,NSW327,Suburbs,3,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Austral, NSW 2179",All,11,1120006,0.0054,0.0172,0.0442,0.1314,0.004,0.5239,-0.256,43,658,0.0,0.0046,0.0154,0.0461,0.2439,0.3853,0.482,0.0305,-0.11,0.15,-0.08,0.18,0.024,10,(+)Decreasing,110,-0.2636,-0.1427,0.6234000000000001,-0.0388,-0.1546,-0.0447,-1.0604,0,0,0,8,0.27,0.0,0.0,49.3,0.0039,-0.0068,-0.0092,1.07,0.51,-3.6,3.26,-1.34,-2.65,0.0204,0,0,57,2.94,6.66,0.0,0.0508,0.0129,-0.0017,0.0,0.0343,-0.034,2,7,0.74,0.49,6,0.64,0.0,0,0,High,0.04,0.07,6847,7307,56,558,0,0,70,98,100,100,66,22,13,34,37,Sydney - South West,Greater Sydney,NSW,NSW275,Suburbs,3,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Auburn, NSW 2144",1,0,385313,0.0035,0.0113,0.0263,0.0619,0.1335,0.1884,0.2705,11,448,0.0,0.0067,0.03700000000000001,0.1342,0.5887,0.4088000000000001,0.5395,0.0605,-0.04,0.04,0.02,0.1,0.0001,3,(+)Decreasing,170,-0.0503,0.0273,0.0208,-0.3432,0.002,0.0027,0.0149,0,0,0,2,0.5,0.41,0.57,26.19,0.0015,0.0001,-0.0005,0.6,-0.32,-0.19,8.4,1.2,0.18,0.0002,0,0,48,-9.09,-0.14,0.0,0.0176,-0.016,0.0014,0.5714,-0.0301,0.0748,2,4,-0.31,0.23,3,-0.32,0.0,0,0,High,0.02,0.06,39333,14618,56,524,0,0,60,100,98,100,20,85,12,39,17,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Auburn, NSW 2144",3,1,667320,0.0035,0.0109,0.0243,0.0563,0.1223,0.1752,0.2385,12,751,0.0,0.0,0.0027,0.0445,0.4783,0.3679,0.4871,0.0585,-0.04,0.04,0.02,0.1,0.0002,3,(+)Decreasing,170,-0.0503,0.0273,0.0208,-0.3432,0.002,0.0027,0.0149,0,0,0,2,0.5,0.41,0.57,45.37,0.0015,0.0001,-0.0005,0.6,-0.32,-0.19,8.4,1.2,0.18,0.0002,0,0,48,-9.09,-0.14,0.0,0.0176,-0.016,0.0014,0.5714,-0.0301,0.0748,2,4,-0.31,0.23,3,-0.32,0.0,0,0,High,0.02,0.06,39333,14618,56,524,0,0,60,100,98,100,20,85,12,39,17,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Auburn, NSW 2144",2,11,528959,0.0031,0.0096,0.0203,0.0539,0.1292,0.1803,0.1697,46,580,-0.0017,-0.0017,0.0017,0.0643,0.5196999999999999,0.3819,0.477,0.057,-0.04,0.04,0.02,0.1,0.0001,3,(+)Decreasing,170,-0.0503,0.0273,0.0208,-0.3432,0.002,0.0027,0.0149,0,0,0,2,0.5,0.41,0.57,35.96,0.0015,0.0001,-0.0005,0.6,-0.32,-0.19,8.4,1.2,0.18,0.0002,0,0,48,-9.09,-0.14,0.0,0.0176,-0.016,0.0014,0.5714,-0.0301,0.0748,2,4,-0.31,0.23,3,-0.32,0.0,0,0,High,0.02,0.06,39333,14618,56,524,0,0,60,100,98,100,20,85,12,39,17,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Cabramatta, NSW 2166",All,4,429325,0.0032,0.008,0.0117,0.0397,0.0263,0.1294,0.154,33,393,0.0,0.0026,0.0077,0.0369,0.2018,0.1766,0.2358,0.0476,0.0,0.08,0.04,0.12,0.0189,2,(+)Increasing,166,-0.0683,-0.0367,0.0157,-0.4366,-0.0203,-0.0303,-0.0332,0,0,0,1,0.47,0.32,0.6,32.86,0.0009,-0.0002,-0.0003,0.4,-0.2,-0.2,8.18,1.19,-0.74,0.0,0,0,49,-5.78,-3.81,0.0,0.0141,-0.0128,0.0016,0.0,0.1568,-0.0323,2,3,-0.34,0.0,3,-0.33,0.0,0,0,High,0.01,0.05,21142,8551,54,190,0,0,60,99,100,100,5,48,12,22,26,Sydney - South West,Greater Sydney,NSW,NSW295,Suburbs,3,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Bondi Beach, NSW 2026",All,1,4163823,0.002,0.005,0.004099999999999999,0.0237,0.0889,0.3768,0.82,6,1660,0.0012,0.0042,0.0097,0.0285,0.2061,0.2668,0.3232,0.0207,0.0,0.08,0.02,0.1,0.039,3,(+)Increasing,180,-0.0096,-0.1394,-0.046,-0.3022,0.1458,0.3524,0.5882999999999999,0,0,0,10,0.66,0.36,0.86,113.48,0.0019,-0.0007000000000000001,-0.0006,0.6,0.02,-0.44,10.93,1.25,0.86,0.0009,0,0,97,8.31,19.57,0.0,0.0163,-0.0029,0.0029,0.5834,-0.0312,-0.0574,12,3,-0.37,-0.12,4,-0.01,0.0,0,0,Medium,0.01,0.01,11513,7812,67,386,0,0,68,100,89,100,21,36,12,23,6,Sydney - Eastern Suburbs,Greater Sydney,NSW,NSW175,Suburbs,2,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Westmead, NSW 2145",All,6,1468860,-0.0017,-0.01,-0.026,-0.0525,-0.0861,0.2333,0.3644,7,663,-0.0015,-0.004500000000000001,-0.0134,0.0091,0.2538,0.2682,0.3161,0.0235,0.0,0.08,0.02,0.1,0.0,3,(-)Increasing,144,-0.087,-0.3533,-0.0809,-0.7467,-0.1711,-0.3157,-0.3693,0,0,0,9,0.68,0.44,0.88,60.75,0.0049,-0.0002,0.0003,1.63,-0.01,0.04,14.15,1.59,0.2,0.0388,0,0,69,13.5,-8.77,0.0,0.0265,-0.0128,0.0022,0.0,0.009300000000000001,0.0625,1,3,-0.41,-0.1,4,0.02,-0.1,0,0,Medium,0.0,0.01,16555,7932,60,1829,0,0,69,100,97,100,9,18,12,13,21,Sydney - Parramatta,Greater Sydney,NSW,NSW314,Suburbs,2,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Riverwood, NSW 2210",All,2,1425638,0.0026,0.005699999999999999,0.005500000000000001,0.0308,0.0751,0.4805,0.5724,9,728,0.0014,0.004099999999999999,0.0182,0.0705,0.3041,0.3425,0.4787,0.0266,-0.05,0.13,-0.03,0.16,0.0204,6,(+)Increasing,166,-0.0868,-0.1802,0.09539999999999998,-0.358,0.0267,0.001,-0.0265,0,0,0,3,0.54,0.44,0.51,89.29,0.0011,-0.0002,-0.0001,0.46,-0.21,-0.07,11.63,1.51,0.25,0.0209,0,0,54,1.81,12.72,0.0,0.0111,-0.0033,0.0018,0.6667000000000001,-0.0275,0.0808,1,3,-0.34,0.0,4,0.15,0.16,0,0,Medium,0.01,0.02,12793,6321,51,1392,0,0,70,100,99,100,12,28,12,17,17,Sydney - Inner South West,Greater Sydney,NSW,NSW325,Suburbs,2,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"North Parramatta, NSW 2151",All,2,1624574,-0.0002,-0.004500000000000001,-0.0173,-0.0241,0.0121,0.4744,0.5682,7,677,-0.0015,-0.0044,-0.0073,0.0,0.186,0.305,0.3281,0.0217,-0.09,0.17,-0.07,0.19,-0.0067,8,(-)Trough,130,-0.1175,-0.2832,-0.0068,-0.6441,-0.0729,-0.0746,-0.1655,0,0,0,8,0.7,0.44,0.77,72.29,0.0018,-0.0006,0.0,0.8,-0.19,0.05,14.03,1.95,0.71,0.006,0,0,44,1.59,6.82,0.0,0.0156,-0.0015,0.0018,0.375,0.0444,-0.0146,3,3,-0.34,0.02,4,0.22,-0.16,0,0,Medium,0.01,0.02,12064,6125,64,473,0,0,80,100,100,100,8,15,12,12,20,Sydney - Parramatta,Greater Sydney,NSW,NSW314,Suburbs,2,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Guildford, NSW 2161",All,9,463444,0.0024,0.0061,0.0126,0.0326,0.05019999999999999,0.1009,0.0942,34,516,0.0039,0.0097,0.0257,0.0747,0.3455,0.2759,0.2918,0.0579,-0.01,0.07,0.05,0.12,0.0334,3,(+)Decreasing,162,-0.0645,0.006999999999999999,0.006500000000000001,-0.3642,-0.0751,-0.0765,-0.1129,0,0,0,2,0.47,0.4,0.34,30.8,0.0017,0.0,-0.0006,0.5,-0.19,-0.21,8.47,1.17,-0.11,0.0,0,0,46,-7.19,5.89,0.0,0.0189,-0.006999999999999999,0.0023,0.7857,0.0177,-0.0194,1,3,-0.32,-0.02,3,-0.19,-0.06,0,0,High,0.01,0.05,24091,9215,48,861,0,0,78,100,100,100,35,73,12,40,20,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Emerton, NSW 2770",All,0,814494,0.0031,0.008199999999999999,0.013,0.045,0.1708,0.7162999999999999,0.9303,3,480,0.0,0.0,0.0021,0.0345,0.3636,0.4035,0.4035,0.0306,0.0,0.09,0.03,0.12,0.0196,3,(+)Increasing,200,-0.0633,-0.1953,0.1313,-0.4684,0.0395,0.1508,0.09849999999999999,0,0,0,1,0.54,0.0,0.0,56.39,0.0027,0.0,-0.0006,0.74,0.13,-0.4,10.61,1.75,1.52,0.008100000000000001,0,0,67,1.38,8.75,0.0,0.0131,-0.0026,-0.0013,0.0,0.0,0.0,1,5,0.12,-0.02,5,0.2,0.06,0,0,Medium,0.04,0.05,2295,855,40,51,0,0,61,99,100,100,11,31,12,18,40,Sydney - Blacktown,Greater Sydney,NSW,NSW283,Suburbs,2,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Auburn, NSW 2144",All,14,527197,0.0034,0.0105,0.0235,0.0568,0.1273,0.1801,0.222,69,593,0.0,0.0017,0.0119,0.07429999999999999,0.5205,0.3823,0.4975,0.0585,-0.01,0.07,0.05,0.13,0.0051,3,(+)Decreasing,170,-0.0503,0.0273,0.0208,-0.3432,0.002,0.0027,0.0149,0,0,0,2,0.5,0.41,0.57,35.84,0.0015,0.0001,-0.0005,0.6,-0.32,-0.19,8.4,1.2,0.18,0.0002,0,0,48,-9.09,-0.14,0.0,0.0176,-0.016,0.0014,0.5714,-0.0301,0.0748,2,4,-0.31,0.23,3,-0.32,0.0,0,0,High,0.02,0.06,39333,14618,56,524,0,0,60,100,98,100,20,85,12,39,17,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Auburn, NSW 2144",4,0,1491640,0.0035,0.0092,0.0183,0.0611,0.1946,0.5467,0.6175,5,861,0.0023,0.006999999999999999,0.0225,0.0694,0.4055,0.4124,0.6131,0.03,-0.07,0.09,-0.04,0.12,0.0109,5,(+)Decreasing,196,-0.07150000000000001,-0.0472,0.1147,-0.4007,0.0067,-0.0621,-0.0553,0,0,0,2,0.5,0.41,0.57,101.41,0.001,-0.0003,-0.0005,0.41,-0.19,-0.19,11.18,1.71,-0.26,0.0035,0,0,53,1.42,9.35,0.0397,0.0176,-0.016,0.0014,0.5714,-0.0301,0.0748,2,3,-0.39,-0.04,4,0.0,0.0,0,0,High,0.01,0.02,39333,14618,56,524,0,0,60,100,98,100,12,51,11,25,17,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Auburn, NSW 2144",3,0,1349356,0.0058,0.0195,0.0399,0.109,0.2678,0.5432,0.6526000000000001,10,721,0.0014,0.006999999999999999,0.027,0.1074,0.444,0.3992,0.4527,0.0278,-0.07,0.09,-0.04,0.12,0.0067,5,(+)Decreasing,196,-0.07150000000000001,-0.0472,0.1147,-0.4007,0.0067,-0.0621,-0.0553,0,0,0,2,0.5,0.41,0.57,91.73,0.001,-0.0003,-0.0005,0.41,-0.19,-0.19,11.18,1.71,-0.26,0.0035,0,0,53,1.42,9.35,0.0397,0.0176,-0.016,0.0014,0.5714,-0.0301,0.0748,2,3,-0.39,-0.04,4,0.0,0.0,0,0,High,0.01,0.02,39333,14618,56,524,0,0,60,100,98,100,12,51,11,25,17,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
